booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-014269,Resort Hotel,0,17,2025,February,8,21,2025-02-21,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,1,10,E,E,0,No Deposit,,292.0,0,Transient,58.0,1,1
HB-018087,Resort Hotel,0,6,2023,November,44,1,2023-11-01,2,1,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,240.0,,0,Transient,58.0,0,2
HB-022870,Resort Hotel,0,45,2024,April,15,8,2024-04-08,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient-Party,65.0,0,2
HB-048154,City Hotel,0,95,2024,March,11,17,2024-03-17,2,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.95,0,1
HB-060351,City Hotel,1,277,2024,November,45,7,2024-11-07,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0
HB-079705,City Hotel,0,0,2023,November,44,1,2023-11-01,1,0,2,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,,11.0,0,Transient,90.4,0,0
HB-047441,City Hotel,1,23,2024,February,8,21,2024-02-21,2,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0,1
HB-010926,Resort Hotel,1,39,2025,April,15,10,2025-04-10,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,117.0,0,0
HB-072732,City Hotel,1,300,2025,August,32,4,2025-08-04,1,2,3,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,98.28,0,2
HB-108095,City Hotel,0,12,2025,March,12,20,2025-03-20,1,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,110.7,0,0
HB-111144,City Hotel,0,38,2025,May,19,5,2025-05-05,0,2,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,G,1,No Deposit,9.0,,0,Transient,179.0,0,1
HB-012571,Resort Hotel,1,8,2025,July,27,5,2025-07-05,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,254.0,0,Transient,135.0,0,0
HB-057091,City Hotel,1,31,2024,September,38,18,2024-09-18,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,156.42,0,1
HB-074950,City Hotel,1,153,2023,August,31,3,2023-08-03,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0
HB-027327,Resort Hotel,0,69,2024,August,34,25,2024-08-25,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,145.53,0,1
HB-001901,Resort Hotel,1,4,2023,September,38,20,2023-09-20,4,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,261.0,,0,Transient,103.22,0,0
HB-066079,City Hotel,1,81,2025,April,15,13,2025-04-13,1,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,112.5,0,2
HB-021485,Resort Hotel,0,12,2024,February,9,27,2024-02-27,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,26.0,,0,Transient,36.1,0,1
HB-102688,City Hotel,0,0,2024,December,49,3,2024-12-03,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.0,0,0
HB-032750,Resort Hotel,0,1,2025,February,6,3,2025-02-03,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,56.21,0,1
HB-075432,City Hotel,1,327,2023,September,36,9,2023-09-09,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0
HB-014345,Resort Hotel,0,62,2025,March,11,13,2025-03-13,1,0,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,108.0,0,Transient,35.0,0,0
HB-077540,City Hotel,1,344,2023,September,39,26,2023-09-26,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,Non Refund,1.0,,0,Transient,170.0,0,0
HB-003318,Resort Hotel,0,66,2023,December,49,5,2023-12-05,1,1,2,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,155.0,,0,Transient-Party,64.0,0,0
