problema_detectado,variable_afectada,decision_tomada,justificacion
Variable sin aporte analítico,booking_id,Eliminación de la columna,booking_id es un identificador único que no se relaciona con las demás variables y no aporta información para explicar cancelaciones.
Ninguno (variable completa y consistente),hotel,Conservar sin modificaciones,"Variable categórica binaria limpia, sin valores nulos ni categorías erróneas. Presenta variabilidad adecuada y es clave para segmentar cancelaciones entre tipos de establecimiento."
Ninguno (variable completa y consistente),is_canceled,Conservar sin modificaciones (Variable central para el analisis),"Variable binaria codificada en {0, 1} sin valores faltantes ni inconsistencias. Representa la variable objetivo del estudio"
Valores extremadamente altos (outliers),lead_time,"Mantener sin modificaciones de limpieza, considerar discretización en la etapa de transformación","Valores por encima de 370–423 días son estadísticamente atípicos. No son errores, pero pueden distorsionar métricas."
Ninguno en calidad de datos (variable temporal completa),arrival_date_year,Conservar sin modificaciones de limpieza,Variable temporal completa (sin nulos) y válida (años 2023 a 2025). Indispensable para estudiar la evolución del volumen de reservas y cancelaciones año a año.
Ninguno en calidad de datos (variable temporal íntegra en formato texto),arrival_date_month,Conservar sin modificaciones de limpieza. realizar mapeo ordinal (1 a 12) en transformación,No presenta valores nulos ni inconsistencias (contiene los 12 meses válidos). Se conserva en texto para el análisis exploratorio y en proxima etapa codificar de manera ordinal (1 a 1) para ordenar cronológicamente
Variable redundante,arrival_date_week_number,Eliminación de la columna,"La información de semana del año es redundante frente a year, month y day_of_month."
Ninguno,arrival_date_day_of_month,Conservar sin modificaciones,"Presenta valores válidos del 1 al 31 sin nulos. Permite analizar patrones según el momento del mes (comienzo, quincena o fin de mes)."
Variable redundante,arrival_date,Revisar en etapa de transformación,"La fecha completa no aporta información adicional frente a year, month y day_of_month. Se decide eliminar la variable."
Division de la informacion de la estadia total,stays_in_weekend_nights,Conservar sin modificaciones en limpieza. Ralizar una unión en transformación,No contiene valores nulos ni negativos. Los valores atípicos reflejan estadías prolongadas reales. En transformación se sumará con stays_in_week_nights para obtener la estadía total.
Segmentación fragmentada de la estadía y estadías prolongadas legítimas,stays_in_week_nights,Conservar sin modificaciones en limpieza. Planificar unión (derivación de totales) en transformación,Variable numérica entera sin valores nulos ni inconsistencias. En transformación se sumará con stays_in_week_nights para obtener la estadía total.
Inconsistencia lógica (estadía total igual a 0 noches),stays_in_weekend_nights & stays_in_week_nights,Eliminación de 147 registros mediante filtrado por índice,"Una reserva hotelera válida requiere al menos una noche. Los 147 registros afectados (0.59% del total) carecen de pernocte y facturación, correspondiendo a registros incompletos o de prueba. Su porcentaje es bajo por lo tanto se pueden eliminar"
Inconsistencia (reservas con 0 huéspedes totales o menores sin adultos),"adults, children, babies",Eliminación de registros mediante filtrado por índice,Una reserva válida exige al menos una persona alojada y un adulto responsable. Las reservas con 0 personas o menores solos corresponden a registros truncados o errores. Se eliminan las filas.
Tipo de dato incompatible (almacenada como float64 en lugar de int64),children,Cambio a tipo entero (int64),Se convierte a entero por ser discreta ya que no tiene sentido utilizar los datos con decimales.
Valores imposibles por error de carga (registros con 9 y 10 bebés),babies,Eliminación de los registros con valores imposibles (babies >= 9),"Una reserva con 9 o 10 bebés resulta inverosímil y se trata de un error tipográfico. Al representar un volumen muy bajo (<0.01%), se eliminan los registros para sanear la distribución sin sesgar la muestra"
Datos Undefined,meal,Recodificación de 'Undefined' a 'SC' (Self Catering),"Si a un huésped no se le definió un plan de comidas (Undefined), en la práctica el hotel no le sirve ninguna comida. Se cambia de Undefined a SC"
